Time,Symbol,Funding Interval,Funding Rate
2023-11-29 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-29 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-28 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-28 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-28 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-27 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-27 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-27 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-26 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-26 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-26 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-25 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-25 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-25 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-24 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-24 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-24 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-23 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-23 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-23 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-22 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-22 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-22 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-21 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-21 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-21 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-20 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-20 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-20 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-19 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-19 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-19 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-18 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-18 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-18 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-17 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-17 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-17 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-16 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-16 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-16 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-15 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-15 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-15 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-14 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-14 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0118%
2023-11-14 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0115%
2023-11-13 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0114%
2023-11-13 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0148%
2023-11-13 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0146%
2023-11-12 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0286%
2023-11-12 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0208%
2023-11-12 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-11 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-11 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0173%
2023-11-11 03:00:00,ETHUSD ETH-Margin,every 8 hours,0.0110%
2023-11-10 19:00:00,ETHUSD ETH-Margin,every 8 hours,0.0100%
2023-11-10 11:00:00,ETHUSD ETH-Margin,every 8 hours,0.0176%
